State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AK,7307,7744,7941,10116,12898,15276,16031,18156,19463,27055,29815,32872,37357,34044,35903,33763,34607,37862,38164,36380,33916,37521,46963,50328,63347,58113,97823,88963,52618,53158,60898,60143,62226,64623,65924,66562,70630,68002,69605,71181,69873,66274,60184,58567,63451,62403,67572,63076,64441,61825,66822,70816,69598,62922,63219,66983,59310,58839
AL,57186,64744,71604,77702,82040,82000,85463,85537,96195,106709,111096,113920,121198,124601,127541,122067,125295,128203,127602,129683,127025,145003,145631,149781,134830,141275,144276,147094,155814,169223,171437,167976,164861,168629,174292,176772,191836,228896,235977,246017,254765,248106,254622,253430,262193,260555,272925,276430,271313,257057,270519,257067,244858,256785,262497,263457,262633,254316
AR,36006,36795,41057,44315,47870,53889,61254,66520,71836,77209,79483,73241,78970,84394,83434,96949,99555,103542,105090,102805,99302,87735,91650,108323,102874,100622,94257,95914,101167,106051,105744,108180,105289,116566,116908,121912,125563,125908,133493,135167,147038,151037,152404,154554,154373,163710,158925,162806,166967,164581,174511,174604,170102,176549,182202,179155,175092,173141
AZ,67122,50833,48940,53383,65190,58323,59715,69120,71954,79633,82050,92437,102026,113228,120152,122328,132618,138813,135140,133633,138144,136449,138109,138340,154916,169409,174402,191764,197504,212424,211750,205541,211110,213722,226008,237100,252973,261204,277199,287674,305909,304241,303421,302517,306130,316021,325175,341414,342244,332905,333914,347514,343690,350035,342287,347477,351533,355070
CA,435911,488193,514602,532666,551289,577322,623839,644067,689567,718320,771607,830984,854486,878226,845078,971642,979844,995988,1005974,1051824,1085549,1132333,1085887,1005167,1070308,1079857,1073001,1135265,1201208,1275834,1312679,1304557,1290974,1241311,1212749,1257945,1251761,1305597,1437967,1365297,1365760,1459587,1474444,1442269,1556263,1491344,1540949,1536055,1572567,1514184,1510406,1538314,1490098,1425067,1432703,1462756,1474980,1473141
CO,56584,60042,64319,63921,73228,77240,84663,84631,98648,108270,118104,126792,135041,145134,145437,146166,140407,140775,145680,152522,155095,158025,185130,193826,208942,212908,203649,208728,222722,232424,236944,247911,244690,254526,233132,237338,251800,253509,261205,272844,283770,289872,299694,290616,284990,286727,287048,293354,302337,297444,287496,287990,277651,286746,284107,290564,289926,290828
CT,63357,64963,66976,69887,71355,73537,77553,81609,89937,94930,104561,109892,118187,122773,118728,117180,124977,127583,131486,136733,129788,134351,137538,147582,155963,159998,164010,168502,173079,187991,182835,182253,190820,186397,194440,191423,206648,209374,211263,216300,228687,214437,209317,225516,207717,202739,190943,211813,195688,187056,190638,184351,183353,190340,192330,199411,189645,188139
DC,32307,30581,32797,34786,41069,54583,56990,66197,67158,70499,74778,72373,67079,66544,55881,52455,51717,49657,49924,47846,48712,47168,52362,59120,72140,70490,76153,77323,75499,79728,82402,86568,86555,90462,120458,122088,118945,117916,117603,119164,123660,123712,125669,120515,126495,129747,123672,131765,127418,129981,124868,119656,112064,111449,112648,108553,107962,104394
DE,20756,18873,19993,21966,21961,25396,26770,23669,24736,27719,29760,30800,32673,35288,29374,31141,32981,34640,32072,37854,52323,37175,31681,25055,26965,26580,27844,30753,32958,34917,38421,39778,40511,40670,39685,41874,45032,47400,47030,49356,58644,52126,58209,57033,57419,59665,58167,60347,61623,62975,63077,59093,56839,56942,57866,57364,56267,56484
FL,106831,113395,129151,138411,152628,158470,167448,191561,206270,231914,261514,281948,304049,332834,345009,341696,364386,383087,386709,391061,391065,428365,431009,465441,498202,567137,597376,616546,646586,694232,730614,741131,740685,740913,753603,787785,806126,825632,865958,888750,936822,940430,982663,981066,1007512,1014577,1017900,1040386,1034342,1007194,990078,969582,957082,968454,975609,1013873,1012822,991224
GA,67054,68698,77192,80731,85525,92144,99203,107418,123385,137627,148322,159584,173688,186738,183459,193814,206896,223538,208234,207156,208227,219099,224063,237228,259380,264454,273698,289347,304821,322432,320009,324398,334315,354042,361772,393909,421674,437165,447560,447765,491158,491148,482989,503208,533977,543376,545442,564130,566089,551515,581305,564498,537296,531588,549710,551841,555441,533245
