State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AK,16798,21748,25143,25950,25841,23107,33820,35548,36499,51376,50964,53474,64134,63070,59645,82597,90682,118122,140893,139105,137435,106071,219607,230970,230994,215539,211960,234311,276499,303443,306883,340479,366172,356750,350616,413570,429716,403305,413864,394489,401675,409960,411348,402842,389872,418115,353673,356533,317535,334430,326937,331420,339183,334286,330415,331207,329286,333141
AL,508500,473290,497504,505064,558585,614582,642039,681691,720272,774557,792298,761641,816426,820388,816867,795894,803954,835065,836049,916739,895556,854608,752596,706991,793320,768192,727345,766314,818320,804679,792492,802210,862574,897895,964871,1001394,1007715,964889,970361,998090,997515,856787,864721,884546,949029,930648,940812,915650,876159,711194,774119,804046,835419,850449,861116,823761,812882,822198
AR,204729,199953,216451,230995,255283,255234,257650,277382,285240,307716,318746,315745,325363,372635,358485,311741,354882,375737,370008,393956,379537,377534,338301,333947,332911,332572,304023,264910,326034,374559,351139,331747,373961,401717,421007,450841,453569,469646,468605,466686,477869,449136,458443,445750,437200,432391,442132,440983,421560,365057,410691,421768,405044,412207,412795,377696,380620,396844
AZ,50359,81565,97937,105519,100297,119098,131975,119078,128483,143577,155464,158771,178702,190491,198443,177995,190047,207126,206989,231076,196668,231894,191774,190156,197716,194599,197047,169574,184572,193835,186513,189393,203134,196268,207808,227483,234113,239161,232892,232133,221615,210192,200715,194629,220682,217238,222790,221075,232774,197009,208280,224978,220083,213655,236523,236215,241033,229563
CA,1193589,1209024,1214818,1325160,1454644,1475421,1558212,1610012,1697912,1772204,1848333,1840387,1892588,1991904,1922886,1884711,1938348,2004393,1897343,2030621,1864716,1661176,1526436,1606882,1860967,1852772,1762901,1916019,1852544,1906598,1927305,1973677,1980559,1917642,1938522,1896395,1937454,2071477,2091112,2115400,2101664,2098775,1962351,1937697,2006031,1940537,1916705,1894783,1846491,1713376,1740110,1784566,1747486,1882363,1859180,1849740,1852097,1817757
CO,171462,189742,180950,180415,184883,185681,176595,192775,215411,215265,218700,206860,231971,244793,239721,234177,249850,260655,253259,257692,251908,219529,180324,165183,184055,171756,181566,179563,196685,205152,210272,230713,234179,250941,274678,272469,285874,280554,306146,279295,308062,374458,352220,367334,372198,382734,391414,405137,412316,414084,455489,421232,421118,415121,431765,440335,399381,406698
CT,170379,168945,180334,181031,202315,194943,222567,221316,214011,211376,205463,183354,188218,202749,184573,171009,196591,198436,208884,180017,181473,149766,149067,141760,149915,151202,145419,150500,149218,137465,130770,134208,135674,133303,130331,130474,132946,129229,119952,120403,128607,114144,107834,122166,116533,116584,109877,107393,81061,87154,88605,86012,83336,88739,85914,78386,78891,79275
DC,34470,33890,33092,31234,34236,43985,51565,54130,50503,60100,64259,61464,55759,54930,44114,42722,42508,45483,43420,44287,43056,42159,40550,41218,27944,29245,29947,30461,31431,33724,35916,36522,35677,35779,3805,3638,3448,3722,3507,4038,3765,4318,4384,4650,4403,3913,3739,4197,3705,7316,7274,6816,7015,7151,7260,6959,5816,5656
DE,66475,62451,72557,78026,79214,85763,90115,86048,95068,102549,101519,101335,105624,113670,103912,91848,95055,92562,96073,105215,94373,72291,70164,80435,90520,86247,85791,84020,86184,89365,103257,89873,104159,105699,106416,107513,105683,106788,105096,109733,112761,113223,113907,109937,95481,98635,92401,90639,90134,58907,50469,85081,92271,90726,87479,89072,87629,83626
FL,225674,239313,262710,272756,284752,309445,328754,317977,337331,343748,367070,382573,393525,432871,399324,400889,449938,494420,516132,559793,568708,499047,428612,438292,471241,471866,449811,445842,485507,544632,531617,524593,547804,576778,581798,596725,614256,585614,573888,578823,556805,556969,528714,541605,527092,531991,548358,525451,518179,466622,501522,478130,473808,479477,466700,491766,492275,493173
GA,262469,266590,293886,306865,334512,376959,408572,423628,443792,459757,463592,481915,522059,564755,541219,497523,518256,523959,568943,619157,596943,579073,555691,588415,641199,682269,641661,663183,689334,758876,791646,783529,797778,807674,829296,885365,923748,937163,904868,907610,911002,844683,931083,883482,918815,885770,881538,853344,777410,707134,758777,754956,726205,752794,781870,779426,772342,758583
HI,20617,26809,28697,29856,32352,34680,35776,38672,38921,40959,43623,43568,49201,49904,49811,50344,51693,53304,53047,59091,74539,73582,79444,66003,65001,67345,76867,79590,88781,93794,98939,89025,93630,92241,93640,92871,95447,88664,80641,78028,77944,69465,70728,68832,68904,72369,71564,69038,65843,69087,68068,67545,65113,65415,64554,64231,62512,59874
IA,221181,218916,222871,235054,253139,264373,255859,278630,285884,296850,308792,299371,312869,351796,346596,321343,350358,346779,331822,376355,378064,379308,352669,339658,349693,337860,361224,372818,403734,364601,370258,387423,402334,428840,452563,465209,476068,471978,487248,513769,509090,480808,486223,473545,528189,550107,570564,622275,671672,696129,744563,741232,715624,755145,768692,769108,790641,848338
ID,85932,94422,97245,99501,111071,116138,117438,131405,145847,141949,146277,147976,157579,155737,161253,146902,143666,136705,144234,141059,132505,146849,132992,134759,127875,127758,124212,131005,138588,159174,162283,165874,169155,168263,174657,184649,202911,202540,205026,207154,204104,180788,166695,172771,190811,188132,185751,190130,189317,167392,181572,178557,180778,177852,178290,174169,168219,168114
IL,1118152,1117416,1143047,1167153,1238718,1308795,1347004,1369824,1417507,1475040,1480120,1438587,1502785,1577894,1543934,1423447,1456198,1469976,1488982,1502981,1405339,1248126,1110449,1158791,1211946,1204711,1232775,1288605,1337840,1210455,1227845,1244297,1265919,1265163,1309116,1320050,1329542,1341592,1313432,1309968,1245353,1183934,1170399,1195924,1246435,1232363,1197415,1218682,1223314,1098375,1209892,1212122,1209740,1217867,1230181,1174696,1170249,1176183
IN,876250,890166,882651,927107,994567,1047109,1122995,1115741,1159122,1215604,1233514,1210036,1332020,1373403,1340383,1276907,1284639,1338002,1355296,1416977,1275857,1260785,1069955,1084467,1073780,1116683,1050293,1134419,1186934,1180638,1196969,1157645,1163987,1199421,1171656,1188780,1246855,1248004,1258673,1312950,1340401,1270330,1322809,1346146,1390742,1366487,1347870,1361497,1324388,1188723,1289943,1305840,1294491,1321294,1329444,1308199,1271572,1231793
KS,266789,254644,263866,251403,268442,302277,335555,287362,318509,331161,338421,358043,377643,394301,386299,350948,380003,399200,408985,510159,414093,368489,359325,331872,418538,401023,372365,402013,421355,400065,414403,409313,428472,420816,468668,397946,397064,409088,387656,397145,394806,377316,387246,403557,402465,356551,380278,429735,379234,351942,370861,368194,374987,370711,378198,384001,386129,387525
KY,482537,476140,473390,504552,506536,503506,495299,501983,511239,526058,529710,538289,606684,613636,612605,633944,689836,669798,633524,661486,613018,559810,525908,514256,600056,578108,528494,546440,567873,625264,642381,629784,684133,684891,731309,758474,784439,761045,729158,763978,731241,769639,856487,820715,854910,860877,881812,882107,885164,823169,843369,818902,822925,716427,664838,641706,613056,598457
LA,1067979,1122275,1128300,1268149,1349757,1293186,1404053,1599081,1735161,1957500,2047081,2101771,2221317,2379819,2432554,2159819,2538838,2847770,2970192,2822813,2701016,2693871,2460940,2333849,2447683,2215593,2311014,2400370,2396315,2539317,2616290,2573294,2695963,2743616,2832484,2850643,2946787,3085965,2800763,2812121,3002757,2628873,2711053,2591045,2799910,2658746,2851965,2945520,2937594,2738357,2880050,2895500,2852596,2787167,2826303,2794776,2901028,3123142
MA,295583,295678,297169,279358,306648,357701,372826,375115,378190,371798,372902,361750,367041,372829,330132,290890,308507,303227,300005,257710,207008,229093,219361,234074,254192,255708,287386,280554,250198,233466,221879,212618,238600,240324,223518,221302,220559,216976,216407,235584,238452,244359,245912,191150,188481,187956,186547,180817,165186,235762,248317,249307,249778,250417,165684,163502,159119,154862
