,State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Energy_Type
7,AK,BMTCB,3681.0,4145.0,4246.0,4383.0,4728.0,4863.0,5035.0,4671.0,4705.0,4893.0,5029.0,5287.0,5079.0,4871.0,4922.0,4894.0,5224.0,6106.0,5920.0,5986.0,2723.0,3046.0,2875.0,3348.0,3917.0,3967.0,2259.0,2923.0,3103.0,9188.0,8169.0,7954.0,8753.0,7067.0,9659.0,8941.0,8774.0,4308.0,2233.0,2168.0,2069.0,3438.0,3529.0,3485.0,3765.0,1133.0,1065.0,1177.0,1233.0,2543.0,2704.0,2675.0,2263.0,3357.0,3522.0,7488.0,8093.0,7023.0,Biomass
19,AK,CLTCB,7189.0,11552.0,13559.0,11999.0,12029.0,9888.0,16431.0,18462.0,15998.0,13191.0,13159.0,14121.0,12753.0,13286.0,12485.0,15271.0,13706.0,10259.0,4689.0,4182.0,4310.0,12521.0,13182.0,12403.0,12883.0,11587.0,12150.0,4330.0,4362.0,4719.0,12387.0,12675.0,12509.0,13630.0,12578.0,12882.0,11152.0,11719.0,16471.0,16394.0,16455.0,15911.0,16429.0,12552.0,14075.0,13994.0,14981.0,13662.0,14705.0,14505.0,14548.0,15481.0,15521.0,14819.0,18225.0,19511.0,16613.0,16376.0,Coal
27,AK,DFTCB,15354.0,17023.0,17412.0,18196.0,20441.0,22066.0,23805.0,25940.0,28987.0,28259.0,29710.0,37031.0,36634.0,37640.0,39909.0,41301.0,55548.0,60820.0,63035.0,33831.0,38892.0,38133.0,36765.0,42552.0,46675.0,59403.0,44219.0,41391.0,47579.0,64491.0,61441.0,56830.0,67470.0,72158.0,66099.0,74513.0,68889.0,69717.0,66935.0,70784.0,63284.0,67938.0,62931.0,58216.0,81794.0,73213.0,80873.0,78283.0,75258.0,83571.0,79470.0,84569.0,79460.0,73218.0,73108.0,78162.0,64261.0,59052.0,Distillate Fuel Oil
63,AK,HLTCB,176.0,311.0,214.0,304.0,328.0,350.0,378.0,406.0,427.0,469.0,570.0,659.0,722.0,823.0,644.0,770.0,1263.0,1444.0,1734.0,714.0,696.0,545.0,764.0,781.0,1014.0,1232.0,1001.0,1014.0,1039.0,1056.0,1464.0,1536.0,1506.0,911.0,942.0,1011.0,923.0,1182.0,1151.0,1017.0,851.0,999.0,1202.0,1191.0,789.0,1018.0,1053.0,794.0,1277.0,1555.0,1371.0,1279.0,1299.0,1257.0,1265.0,1094.0,1165.0,1240.0,HGL
68,AK,HYTCB,3120.0,3168.0,3207.0,3410.0,3374.0,3655.0,3293.0,3786.0,3781.0,3562.0,3806.0,3807.0,3594.0,2973.0,3407.0,3713.0,3978.0,5343.0,4889.0,4747.0,5599.0,6171.0,5870.0,6243.0,7235.0,7816.0,8448.0,9080.0,9658.0,9102.0,10137.0,9352.0,9495.0,13433.0,13879.0,14149.0,13089.0,11224.0,11353.0,8351.0,10220.0,13905.0,14643.0,16023.0,15004.0,14638.0,12137.0,12762.0,11547.0,12920.0,13982.0,13066.0,14988.0,13696.0,14633.0,14621.0,15317.0,15143.0,Hydroelectric Power
75,AK,JFTCB,10632.0,12803.0,15493.0,15800.0,16395.0,16517.0,20621.0,25272.0,28350.0,36471.0,37702.0,42436.0,44997.0,41496.0,41920.0,41663.0,41620.0,44445.0,46496.0,47709.0,54034.0,61242.0,64877.0,68702.0,85459.0,85766.0,91239.0,83605.0,95153.0,104707.0,97938.0,96115.0,82920.0,83243.0,91158.0,95925.0,105753.0,119680.0,124199.0,134117.0,146698.0,137600.0,143166.0,155158.0,175506.0,181100.0,180003.0,164732.0,135044.0,106292.0,128857.0,118226.0,113205.0,107338.0,96006.0,102899.0,104844.0,100500.0,Jet Fuel
98,AK,MMTCB,8702.0,9514.0,10059.0,10529.0,10918.0,12868.0,10057.0,14082.0,11582.0,12615.0,13766.0,14941.0,19357.0,16794.0,18619.0,21954.0,24675.0,25449.0,23811.0,24590.0,19308.0,23468.0,26735.0,24964.0,27968.0,29618.0,28500.0,27340.0,27942.0,26680.0,30752.0,26834.0,30893.0,31178.0,34110.0,36561.0,34368.0,32263.0,34707.0,33034.0,30894.0,32734.0,30458.0,30537.0,35658.0,35580.0,35199.0,35617.0,34251.0,34135.0,34846.0,33634.0,33718.0,32797.0,34213.0,34782.0,35217.0,34250.0,Motor Gas excl Ethanol
108,AK,NNTCB,2034.0,2300.0,4048.0,5567.0,6805.0,7670.0,12282.0,11889.0,17636.0,42940.0,64045.0,68045.0,75032.0,63703.0,63188.0,85175.0,90571.0,116859.0,145025.0,157236.0,153805.0,122214.0,237881.0,239678.0,258039.0,214042.0,208311.0,251512.0,288798.0,321207.0,326826.0,367952.0,383887.0,375971.0,367592.0,432813.0,443629.0,425394.0,434437.0,422817.0,437972.0,413049.0,420808.0,415891.0,407944.0,434704.0,375719.0,372186.0,343938.0,343971.0,334978.0,339819.0,347228.0,332631.0,329274.0,333936.0,330883.0,343908.0,Natural Gas
110,AK,NUETB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nuclear Electric Power
115,AK,P1TCB,6076.0,7276.0,6055.0,5892.0,5038.0,4365.0,4716.0,6252.0,6267.0,8018.0,7838.0,7942.0,8950.0,8828.0,9604.0,10674.0,9869.0,11925.0,13668.0,18772.0,14048.0,10778.0,18210.0,36491.0,36507.0,41688.0,63604.0,56603.0,39280.0,32806.0,32238.0,19648.0,24984.0,21422.0,22433.0,22520.0,26422.0,27767.0,26463.0,29842.0,28574.0,42966.0,32996.0,34884.0,35958.0,37728.0,40663.0,39048.0,30429.0,36379.0,42378.0,44833.0,40227.0,37003.0,32619.0,27883.0,27774.0,29128.0,Other Petroleum
141,AK,RETCB,6800.0,7313.0,7453.0,7793.0,8102.0,8519.0,8328.0,8457.0,8486.0,8455.0,8835.0,9094.0,8673.0,7844.0,8329.0,8608.0,9201.0,11449.0,10809.0,10733.0,8321.0,9216.0,8745.0,9591.0,11152.0,11783.0,10707.0,12004.0,12761.0,18342.0,18357.0,17357.0,18300.0,20551.0,23590.0,23142.0,21915.0,15583.0,13638.0,10605.0,12375.0,17439.0,18257.0,19598.0,18857.0,15866.0,13298.0,14037.0,12913.0,15685.0,16965.0,16078.0,17796.0,18629.0,19790.0,23786.0,25174.0,23677.0,Total Renewables
146,AK,RFTCB,4472.0,4081.0,4519.0,4708.0,5010.0,5539.0,6078.0,4412.0,4799.0,6214.0,6413.0,6694.0,7258.0,6551.0,6789.0,6758.0,8195.0,10839.0,14742.0,2008.0,2332.0,1543.0,1897.0,2464.0,3192.0,19311.0,44521.0,21413.0,4483.0,2184.0,2676.0,3713.0,4766.0,4543.0,4535.0,4690.0,5694.0,5429.0,5204.0,6716.0,4954.0,7097.0,6648.0,5431.0,4415.0,4451.0,4480.0,4616.0,2465.0,3454.0,2158.0,1897.0,2719.0,593.0,750.0,731.0,0.0,0.0,Residual Fueal
209,AL,BMTCB,45681.0,46171.0,45959.0,45764.0,46341.0,47641.0,49102.0,49050.0,52920.0,53345.0,52378.0,54068.0,58735.0,59084.0,58463.0,57615.0,62883.0,66705.0,66560.0,67874.0,141033.0,150242.0,153364.0,164722.0,175397.0,176696.0,160935.0,155656.0,161022.0,166994.0,145304.0,144773.0,151327.0,176217.0,215932.0,223971.0,208971.0,182204.0,209467.0,210694.0,203782.0,166309.0,163647.0,156338.0,186662.0,178199.0,194227.0,187593.0,176472.0,151086.0,180391.0,191327.0,192362.0,209069.0,200364.0,187987.0,187447.0,188663.0,Biomass
221,AL,CLTCB,395400.0,382455.0,427177.0,442465.0,459000.0,533142.0,583457.0,580163.0,618335.0,641466.0,675603.0,626054.0,669734.0,688650.0,653405.0,640063.0,632096.0,629412.0,577580.0,670208.0,661023.0,629957.0,511059.0,532596.0,584607.0,662890.0,660525.0,660678.0,652717.0,682145.0,682496.0,723921.0,775653.0,812948.0,773804.0,828277.0,890742.0,867264.0,856479.0,866512.0,904181.0,842337.0,845999.0,873735.0,853917.0,890098.0,886678.0,888436.0,842826.0,630969.0,718684.0,651032.0,547004.0,565051.0,575912.0,494311.0,410168.0,378890.0,Coal
229,AL,DFTCB,31413.0,25250.0,28903.0,29949.0,34403.0,30587.0,29948.0,23706.0,37390.0,42798.0,49581.0,51600.0,70442.0,83984.0,87768.0,85611.0,106446.0,115238.0,120036.0,87699.0,88482.0,104523.0,89832.0,89621.0,83240.0,84582.0,85366.0,93351.0,103677.0,124166.0,125700.0,123152.0,124730.0,122271.0,136941.0,137660.0,137514.0,134192.0,130397.0,140008.0,143190.0,135800.0,132198.0,162695.0,182216.0,173907.0,174320.0,169377.0,152438.0,139850.0,147986.0,155442.0,156621.0,145092.0,143410.0,153651.0,169094.0,163537.0,Distillate Fuel Oil
265,AL,HLTCB,12291.0,13117.0,14375.0,15804.0,17671.0,16101.0,18620.0,19226.0,25077.0,29656.0,28798.0,30471.0,34045.0,32063.0,26804.0,24551.0,27018.0,29149.0,25491.0,21229.0,18423.0,17100.0,16368.0,16649.0,12651.0,13580.0,15073.0,17472.0,16677.0,17984.0,15623.0,14220.0,14749.0,18686.0,19116.0,19013.0,18074.0,16136.0,12419.0,26375.0,27700.0,26486.0,19723.0,15706.0,16718.0,11224.0,12544.0,14423.0,13593.0,12078.0,13270.0,10675.0,8689.0,9110.0,9103.0,8981.0,8595.0,8593.0,HGL
270,AL,HYTCB,67128.0,71851.0,79605.0,66918.0,91651.0,74247.0,72135.0,95334.0,76753.0,78511.0,80092.0,104114.0,106211.0,122622.0,108270.0,127086.0,98111.0,108046.0,81781.0,122863.0,97733.0,63113.0,112184.0,117458.0,112730.0,71935.0,54848.0,77855.0,55575.0,137211.0,107832.0,112268.0,106109.0,93134.0,117903.0,97980.0,114587.0,117660.0,107730.0,79350.0,59346.0,86346.0,89775.0,128232.0,106432.0,101436.0,71930.0,40881.0,60466.0,122345.0,84919.0,86313.0,70754.0,123071.0,90030.0,91902.0,64484.0,85103.0,Hydroelectric Power
277,AL,JFTCB,6051.0,6148.0,6897.0,6915.0,7134.0,6238.0,6428.0,7722.0,9872.0,10233.0,9904.0,9815.0,9371.0,9274.0,9407.0,9427.0,9143.0,9807.0,9929.0,9468.0,11305.0,9717.0,8740.0,9087.0,20699.0,19700.0,21001.0,21710.0,10363.0,11362.0,10551.0,12641.0,11695.0,10975.0,19608.0,21763.0,19886.0,12379.0,19985.0,11129.0,13312.0,13283.0,12797.0,14564.0,14481.0,13982.0,13113.0,13162.0,12299.0,9887.0,11948.0,13350.0,12436.0,13223.0,14212.0,17838.0,18025.0,13647.0,Jet Fuel
