State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AK,61433,72173,78812,80788,85067,87782,102696,115172,122533,156631,182039,200962,214377,196965,201488,232172,254649,293489,324010,299774,295745,279661,409057,437627,482889,474429,504252,499211,521398,576192,584082,602660,627237,623613,623042,704062,718749,708741,723206,725331,742061,735738,732897,733462,775000,797659,746273,722978,650286,639551,655575,655820,651177,618287,605250,622786,605930,608135
AL,866594,831311,881239,913155,979212,1044616,1088204,1138573,1246669,1343138,1393497,1384940,1478039,1527209,1547657,1515130,1551806,1623443,1638359,1648767,1644874,1604035,1499050,1445946,1544598,1519675,1504733,1582639,1651726,1683173,1665451,1682843,1753322,1805267,1897364,1971541,2004503,1972007,2017820,2060734,2110818,1917019,1977985,1969758,2083052,2064521,2102014,2085235,2002425,1800022,1942109,1916766,1890045,1933718,1970357,1923918,1928825,1900936
AR,425974,431586,456788,484672,527123,528740,566110,596737,635396,681052,708904,700736,744634,820083,798333,785659,840830,886292,887040,872687,859238,821800,792462,796587,799005,789513,759564,736170,817720,882855,855785,845361,874311,948491,979356,1030171,1047838,1067028,1087099,1104381,1144789,1099774,1122195,1103975,1095132,1118423,1114543,1128237,1109695,1041554,1126984,1129108,1072603,1104570,1121882,1062224,1054180,1057643
AZ,282993,304835,324913,348302,369663,375200,403460,414501,456156,498192,520401,554212,616452,670117,676309,660004,691884,738889,747985,786479,754491,787920,746494,758000,802626,843102,852973,865824,906415,943115,938852,944604,973001,987611,1041885,1078262,1144457,1168472,1222111,1263667,1310640,1320938,1314854,1333910,1384481,1425513,1471166,1497716,1465317,1379971,1383847,1424223,1394090,1411591,1420245,1442394,1473676,1475387
CA,3449919,3609108,3724117,3923736,4219633,4385719,4645217,4841003,5115122,5356783,5499139,5747656,5872011,6047069,5816324,6032845,6186312,6361466,6472696,6727621,6540472,6332205,6076050,6092316,6533180,6601489,6501121,6938475,7143783,7420327,7443750,7342269,7308211,7146526,7273603,7297478,7422343,7538784,7831111,7852568,7921270,7955161,8008105,7892261,8260248,8166058,8289269,8260040,8075576,7774309,7760676,7768794,7549440,7638003,7584837,7672710,7819232,7881348
CO,424556,461749,468348,465929,498054,508687,531922,555487,622770,648877,677623,691909,756325,801930,787106,784438,818799,835096,850246,856031,838088,816311,833092,831430,867717,869749,859444,866162,899364,915127,932807,983584,983800,1050950,1052369,1077829,1127851,1124639,1169337,1188948,1250523,1352595,1352726,1353967,1381594,1415604,1431970,1483728,1487542,1465399,1515571,1472721,1441405,1468349,1482807,1490556,1453002,1462864
CT,507999,518130,536644,545224,563507,569505,609289,624114,648770,667657,693930,682588,717611,743064,714126,689513,742109,748110,768737,755692,728226,695795,696739,688418,715073,723070,739744,763522,795471,811311,768226,767326,800838,789110,790736,773815,812821,803070,782381,825476,864592,829761,815941,894921,907520,863719,810221,841984,774576,766416,767341,740997,725747,754160,752232,756544,724506,726389
DC,119871,118175,120458,121016,132268,159170,169525,182216,181890,195629,205891,199397,188830,193442,171284,163161,164436,163353,160278,152431,153262,149271,163811,162575,167024,165934,174696,174233,174976,180533,181020,187140,186771,193377,188706,190966,188509,185242,181604,185703,192565,188715,192666,189118,196856,196004,182510,194920,186833,195103,190334,183642,172813,174775,179278,178479,174224,167625
DE,156406,150335,161918,172781,173156,184269,192519,187575,206901,219454,219722,222353,232526,246392,228887,218797,229178,227666,226261,244675,242340,195218,186552,197917,220487,214953,217072,227480,234133,241618,255404,253279,264211,268583,263874,265066,275689,276148,273673,286866,305090,292481,308812,303838,289790,302444,288565,293707,291534,259441,250321,272754,273643,274261,274339,277858,273060,269779
FL,809559,848703,949391,994376,1049548,1111530,1180231,1223737,1349462,1453793,1577450,1674133,1804005,1995319,1929045,1939837,2062020,2217477,2327321,2422499,2511917,2482043,2402137,2457345,2551259,2698976,2781956,2870556,3042056,3248530,3280693,3245706,3307780,3337130,3458501,3601062,3689160,3709379,3838316,3889381,4044221,4032179,4146009,4160180,4313246,4379188,4433346,4416962,4265319,4115011,4277598,4129153,4013772,4059259,4096202,4245434,4227568,4208521
