State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AK,27139,31895,34182,32387,32246,34379,36233,43862,47177,56517,76386,85018,83425,71354,76803,79665,89123,94045,97936,85842,89804,101238,102239,115944,142997,153931,150698,133896,150456,173382,168892,156413,151927,154297,157266,173607,167528,188588,192174,207434,219733,205457,209339,219243,265801,263620,265470,249625,214641,189761,209562,199644,187800,172271,163792,171458,166445,163027
AL,176015,172023,179802,189395,190545,200727,206854,216031,242554,255625,268489,281247,300827,327548,350726,363127,373155,395543,405416,353042,349881,342116,333176,324451,337698,334813,349194,374883,377985,401324,397799,406124,417482,413632,431784,454692,444370,439699,447984,453914,472549,445420,472487,458024,493103,489301,495454,498675,466865,458995,478170,478047,471563,468198,467892,487470,512052,500939
AR,104652,114214,116715,123586,130214,129593,136348,139183,153822,159784,166549,173379,193085,209852,210118,209528,216054,222603,229577,200014,204275,208967,208325,195411,207483,203444,207724,216907,226684,233710,228101,229427,227667,238191,255166,260424,265553,273172,275696,293044,293838,277419,285320,285231,288153,288549,288220,291971,284574,285128,287908,285316,275491,274774,280095,276801,284875,285591
AZ,116689,121239,129736,136740,143720,139441,148689,159735,183623,192910,194132,204293,225168,243872,233258,230139,235052,253262,267033,274217,265931,269191,261440,263390,279869,293447,299713,312326,322840,322219,325563,332408,336940,352581,366258,372801,394105,394605,424601,447923,459904,475170,485220,500070,510199,532673,549147,541214,504851,476219,465006,460347,451556,458396,463479,473237,489451,489380
CA,1224448,1292718,1316805,1354256,1421236,1491493,1592738,1654402,1779333,1829888,1832707,1909144,1932085,1987135,1899639,1955901,2065541,2207003,2373098,2354473,2363837,2345832,2230899,2253957,2373953,2364497,2447497,2578470,2730174,2817092,2834524,2691435,2681193,2630809,2752697,2817129,2866177,2799948,2807938,2869808,3018015,2967467,3130917,3041631,3194208,3280160,3328387,3354828,3144614,3062794,3043522,2945352,2873992,2894207,2937935,3012471,3112429,3174912
CO,104450,114878,122860,129258,133723,138618,147575,154378,172368,182623,195193,206248,224073,234426,231020,237340,250996,262260,279228,269764,251120,249246,259137,255521,266929,277566,278417,281120,272773,266101,271483,273879,278016,303181,308186,319505,328227,326348,340749,361723,366109,386382,383274,378036,416492,422997,432082,441875,424960,414292,420271,409237,407686,403115,413601,412279,415388,422013
CT,116898,125496,130768,134750,137397,140533,150121,155282,168490,174636,182566,184357,194609,201251,198339,196470,201295,204071,205676,194654,185174,181361,186080,187348,195062,196759,200195,209097,216609,218201,205529,204102,205609,206060,205590,201738,213178,213989,216761,235201,227972,237673,236676,248598,284559,262456,256576,257149,242672,239024,236667,232213,226341,227192,225872,226988,229270,229054
DC,28823,29581,29525,29602,31091,33820,33780,32459,32904,32675,32848,33280,33608,38665,39736,37069,38019,37639,35172,30307,27391,29319,37791,29066,28194,28202,30415,28683,29823,29281,27389,27393,27693,28069,27317,27123,26229,26698,25962,26585,27768,25872,24583,25327,26900,23380,21371,21273,18872,19919,19202,21212,19114,19420,20903,20532,21237,19192
DE,43735,44020,41960,42957,43653,43432,44193,45334,51755,52631,50326,50851,53261,56942,56886,55048,57596,56927,54928,52434,53979,51388,49564,55479,57524,56930,60237,65275,64373,65685,62955,70337,65057,67786,63155,59981,66267,64816,65432,67935,70445,65427,68664,67452,68850,72652,74402,74836,71188,68869,64322,60672,62511,61699,62382,65757,68706,69952
FL,348001,358850,407087,415833,432389,456712,473137,495399,548917,582377,608352,641555,706248,772004,738593,747689,777288,833098,876871,932217,950588,955122,937880,941159,926847,957710,1008847,1066924,1129029,1139593,1137419,1077906,1113434,1100340,1179538,1211335,1221302,1264802,1284392,1325484,1404066,1383832,1415490,1398496,1546505,1589910,1621807,1596199,1495729,1418225,1514210,1489955,1454811,1464071,1476823,1532350,1517340,1548166
GA,208600,208150,225398,239176,249133,257459,282715,317508,352836,376949,400637,432077,461433,508272,488267,487288,508176,528643,550247,569714,549575,541833,541879,560980,583690,590637,621820,662463,694440,674415,682499,665019,668815,741558,753133,789882,834757,803003,830768,859992,859660,858312,860621,887881,924930,965733,949386,924795,865148,928478,950981,928006,841752,820988,786806,827578,793742,844325
HI,61778,74032,66104,69466,74849,78979,91537,105098,122002,125141,125344,138833,136476,140854,128660,130543,131684,141346,144630,156359,146713,124102,102196,117875,129351,142888,127072,124138,140944,154497,154545,151201,144127,130086,139865,138041,121533,117181,114518,122989,125096,131913,140049,162790,171898,179069,181193,194213,136311,132818,136265,144373,142163,141614,142218,145704,146112,146538
IA,151001,147507,153878,159082,161376,161744,171703,183403,196338,206896,210247,230011,238881,256476,246911,248508,257384,261075,260059,259122,238037,226744,231164,229299,228259,222333,218170,228123,235332,237178,235625,228184,226937,231808,247614,256890,272661,266370,275603,274154,270870,269707,278469,281548,296253,300575,306920,312303,305267,298535,302073,305489,292040,297563,308142,299217,315883,299876
ID,42448,41866,44468,43894,45479,49550,53667,54383,56019,60261,65806,68285,73323,75193,76433,79098,84321,88129,93007,99686,83315,76720,75113,74453,77642,79813,80510,82283,84336,88615,90874,88787,89674,100692,103105,110452,112208,114869,117181,123440,124232,121404,123253,117133,122151,123117,131126,135418,123960,122787,133716,129250,131028,135107,136224,151004,157822,158885
IL,504426,508786,520939,555651,568926,597583,630804,677664,730200,758771,790952,810200,884876,923453,881589,883956,919702,945704,976087,930049,821458,784427,767689,787729,707471,733119,725802,735374,787563,802325,788109,759275,773390,801014,781719,799790,824215,833857,851716,939220,967766,938297,907064,953000,1004276,1107542,1052302,1052593,1006428,983604,966887,957650,929707,942568,963299,1000053,1004985,1007518
IN,265284,262745,277217,284318,289382,300042,316147,326392,342193,359239,377796,391294,424550,441971,430689,429976,445748,453325,463957,470907,441657,446984,432620,439574,513196,520787,552469,578042,562368,577378,581671,567839,558794,580695,603534,621793,607597,608934,613596,629856,658504,603567,648202,671849,639214,643640,655506,639531,600371,581133,610182,609975,595435,620809,631106,631505,631429,614279
KS,172858,178233,176565,193960,178331,197148,209458,214514,228465,236882,250710,256558,273146,269163,271331,269148,273595,268827,286644,288878,279218,266030,255159,246221,257072,268172,273068,278352,294398,285614,280304,260471,255948,260226,247301,274175,273318,271115,270026,285477,269988,251256,260491,285777,273169,257995,272215,278727,275659,285175,281300,273728,269664,285653,301831,280606,274442,266933
KY,153635,153410,169687,180892,187832,191777,205416,214533,232321,247884,261341,265443,284282,297055,287068,288098,302855,309564,333814,342198,324017,323231,318534,332803,337644,323387,344232,358877,386223,404451,379595,378096,393921,407849,405793,421760,396465,427334,424989,440965,441204,447959,463106,448255,484232,475522,471912,492681,457295,465287,472721,463796,443518,437880,450114,462212,466146,470715
LA,256944,253709,255773,267091,283681,311121,318865,340713,358477,385716,392151,390660,425494,474451,509274,511108,546644,585309,588509,581423,646701,661774,580654,599636,598755,585795,661328,652242,694276,693330,690577,725553,725759,723706,764496,764497,834591,801675,781167,776300,854208,753034,775051,771809,756428,716379,769679,708605,672475,667212,711313,712848,655237,657486,644196,695549,716026,776884
MA,220223,232639,242221,252038,254929,268600,271133,290677,313736,324262,348866,362542,379915,391349,371093,369400,380724,385290,386801,385655,358305,359128,362384,362472,370142,381532,389179,403559,420664,420228,406705,389293,386608,391001,394318,401524,419265,425542,425974,437874,452555,446659,448348,447334,473407,484687,477848,485588,478693,442887,445371,447999,437660,452542,431898,445559,471549,458156
MD,172937,172669,198195,199643,207162,217118,229080,225512,248291,255378,273132,273569,289740,303286,296987,297309,310253,321158,325821,318501,318826,323669,312847,305649,308196,317632,325874,338551,351166,360646,331344,336632,344063,342224,343241,348943,357932,368560,379085,399931,402620,404584,401192,416829,439190,457080,463331,457311,441162,457372,440247,425404,422779,426806,418131,429445,416254,413017
ME,66698,70106,70398,72081,71079,68812,75656,73728,80026,81208,87633,93187,108008,111181,96675,92405,97198,98683,98767,93555,83348,82477,85807,83798,89155,94003,100742,108321,122448,110119,115386,105823,104061,105456,107390,101923,105327,110610,107844,111710,119837,107042,121962,130778,121259,130704,130715,125025,116389,122071,121969,120644,114878,128052,129213,129139,131160,123187
MI,387291,388670,405877,429765,450804,467377,501020,526853,574018,606128,593490,607502,660210,688431,665594,660805,696664,712202,724044,690809,620136,600307,567289,577010,601213,614673,634968,667095,692249,685553,683927,695926,701060,738727,741775,760951,767783,782989,801136,837783,815944,802819,824625,795704,805637,802762,797393,788198,739586,723024,717801,701435,693389,725661,717505,732880,741472,734811
MN,181361,182477,185949,194347,197456,207273,221296,222770,244657,260291,274085,288738,302868,322903,317686,319516,326930,330760,348762,359554,331579,317753,306687,310839,340655,333044,336886,334133,348749,343924,339237,358208,380355,401059,416902,433207,443367,440457,463324,495464,512778,501501,511500,513689,528665,531930,521036,524830,499949,464257,468864,461769,468358,447815,450452,445906,467516,461277
MO,253774,255857,276089,282147,292306,304630,305174,322431,359165,370069,390887,403843,423903,428118,421345,424725,444349,456659,468827,446792,410564,399232,404843,409781,420918,430001,449790,459201,476640,483578,477139,474217,491151,505757,520023,539983,566688,578783,627741,620735,555297,555043,570918,593121,576776,590446,593859,600283,573219,559769,563850,553819,535903,541520,552519,551126,557469,551059
