State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Energy_Type
AK,BMTCB,3681,4145,4246,4383,4728,4863,5035,4671,4705,4893,5029,5287,5079,4871,4922,4894,5224,6106,5920,5986,2723,3046,2875,3348,3917,3967,2259,2923,3103,9188,8169,7954,8753,7067,9659,8941,8774,4308,2233,2168,2069,3438,3529,3485,3765,1133,1065,1177,1233,2543,2704,2675,2263,3357,3522,7488,8093,7023,Biomass
AK,CLTCB,7189,11552,13559,11999,12029,9888,16431,18462,15998,13191,13159,14121,12753,13286,12485,15271,13706,10259,4689,4182,4310,12521,13182,12403,12883,11587,12150,4330,4362,4719,12387,12675,12509,13630,12578,12882,11152,11719,16471,16394,16455,15911,16429,12552,14075,13994,14981,13662,14705,14505,14548,15481,15521,14819,18225,19511,16613,16376,Coal
AK,DFTCB,15354,17023,17412,18196,20441,22066,23805,25940,28987,28259,29710,37031,36634,37640,39909,41301,55548,60820,63035,33831,38892,38133,36765,42552,46675,59403,44219,41391,47579,64491,61441,56830,67470,72158,66099,74513,68889,69717,66935,70784,63284,67938,62931,58216,81794,73213,80873,78283,75258,83571,79470,84569,79460,73218,73108,78162,64261,59052,Distillate Fuel Oil
AK,HLTCB,176,311,214,304,328,350,378,406,427,469,570,659,722,823,644,770,1263,1444,1734,714,696,545,764,781,1014,1232,1001,1014,1039,1056,1464,1536,1506,911,942,1011,923,1182,1151,1017,851,999,1202,1191,789,1018,1053,794,1277,1555,1371,1279,1299,1257,1265,1094,1165,1240,HGL
AK,HYTCB,3120,3168,3207,3410,3374,3655,3293,3786,3781,3562,3806,3807,3594,2973,3407,3713,3978,5343,4889,4747,5599,6171,5870,6243,7235,7816,8448,9080,9658,9102,10137,9352,9495,13433,13879,14149,13089,11224,11353,8351,10220,13905,14643,16023,15004,14638,12137,12762,11547,12920,13982,13066,14988,13696,14633,14621,15317,15143,Hydroelectric Power
AK,JFTCB,10632,12803,15493,15800,16395,16517,20621,25272,28350,36471,37702,42436,44997,41496,41920,41663,41620,44445,46496,47709,54034,61242,64877,68702,85459,85766,91239,83605,95153,104707,97938,96115,82920,83243,91158,95925,105753,119680,124199,134117,146698,137600,143166,155158,175506,181100,180003,164732,135044,106292,128857,118226,113205,107338,96006,102899,104844,100500,Jet Fuel
AK,MMTCB,8702,9514,10059,10529,10918,12868,10057,14082,11582,12615,13766,14941,19357,16794,18619,21954,24675,25449,23811,24590,19308,23468,26735,24964,27968,29618,28500,27340,27942,26680,30752,26834,30893,31178,34110,36561,34368,32263,34707,33034,30894,32734,30458,30537,35658,35580,35199,35617,34251,34135,34846,33634,33718,32797,34213,34782,35217,34250,Motor Gas excl Ethanol
AK,NNTCB,2034,2300,4048,5567,6805,7670,12282,11889,17636,42940,64045,68045,75032,63703,63188,85175,90571,116859,145025,157236,153805,122214,237881,239678,258039,214042,208311,251512,288798,321207,326826,367952,383887,375971,367592,432813,443629,425394,434437,422817,437972,413049,420808,415891,407944,434704,375719,372186,343938,343971,334978,339819,347228,332631,329274,333936,330883,343908,Natural Gas
AK,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nuclear Electric Power
AK,P1TCB,6076,7276,6055,5892,5038,4365,4716,6252,6267,8018,7838,7942,8950,8828,9604,10674,9869,11925,13668,18772,14048,10778,18210,36491,36507,41688,63604,56603,39280,32806,32238,19648,24984,21422,22433,22520,26422,27767,26463,29842,28574,42966,32996,34884,35958,37728,40663,39048,30429,36379,42378,44833,40227,37003,32619,27883,27774,29128,Other Petroleum
