State,MSN,Energy_Type,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
US,BMTCB,Biomass,1319871,1294762,1300242,1323316,1336802,1334761,1368986,1340249,1419494,1440488,1430962,1432323,1503065,1529068,1539661,1498733,1713373,1838332,2037605,2151906,2471691,2599746,2664743,2904414,2971603,3016233,2932095,2877576,3016049,3159354,2736982,2781799,2931673,2906004,3027532,3101141,3156805,3102838,2927489,2963292,3008229,2625395,2698515,2804726,3004599,3100638,3228406,3438829,3811465,3898016,4471839,4493640,4390792,4633408,4783103,4757010,4717757,4798494
US,CLTCB,Coal,9830513,9618013,9904585,10414512,10967543,11582398,12145291,11917043,12337535,12383168,12268895,11603202,12109530,12960121,12651009,12655613,13575890,13907111,13769684,15041652,15460982,15937724,15269049,15867060,17013578,17540071,17240884,17949877,18885663,19055165,19167682,18989140,19117802,19836126,19903559,20098843,21002157,21443603,21583324,21582103,22575538,21906355,21902852,22322634,22464302,22793450,22444214,22747914,22382816,19691342,20828382,19663856,17380923,18038771,17996577,15548985,14227138,13839632
US,DFTCB,Distillate Fuel Oil,3991686,4044624,4266259,4352755,4371220,4519117,4644739,4765724,5094190,5244026,5401004,5657916,6210091,6574759,6267211,6061326,6679498,7125886,7296139,7039256,6110279,6014173,5678583,5719725,6065095,6097767,6196291,6328356,6655121,6711705,6422080,6209922,6350840,6466000,6717543,6811839,7168372,7297919,7351882,7586690,7927311,8170353,8019781,8340797,8641615,8744885,8830605,8858242,8346459,7656512,8010589,8211183,7897088,8051055,8492328,8402506,8169609,8262728
US,HLTCB,HGL,865979,891189,973310,1052341,1124312,1170101,1234196,1312301,1459731,1677845,1667021,1700297,1926804,1959397,1913592,1811302,1876549,1866666,1848145,2213810,2135452,2097818,2095195,1983330,2229597,2251994,2158232,2338968,2372880,2403475,2258530,2465872,2594761,2557188,2776857,2790650,2951060,2955644,2808928,3193382,3215645,2894642,3006338,2905269,2975834,2811649,2767835,2834784,2655804,2706885,2884846,2798965,2892775,3166263,3066017,3224058,3177612,3280362
US,HYTCB,Hydroelectric Power,1607975,1656464,1816141,1771354,1886314,2059077,2061519,2346664,2348629,2647982,2633548,2824150,2863865,2861448,3176580,3154607,2976265,2333252,2936983,2930686,2900144,2757968,3265558,3527260,3385811,2970192,3071179,2634508,2334265,2837263,3046391,3015943,2617436,2891613,2683457,3205307,3589656,3640457,3297054,3267575,2811116,2241858,2689017,2792539,2688468,2702942,2869035,2446389,2511108,2668824,2538541,3102852,2628702,2562382,2466577,2321177,2472442,2766969
US,JFTCB,Jet Fuel,738522,826805,976887,1043682,1120761,1214502,1353654,1670229,1941094,2016832,1972743,2060819,2140842,2167221,2030373,2047083,2025995,2126482,2163806,2203632,2190406,2062194,2071522,2140915,2413720,2496888,2682354,2842819,2981766,3058904,3129491,3025005,3001330,3028007,3154499,3132195,3274239,3308167,3356783,3461781,3580350,3425975,3340318,3265457,3382535,3474752,3379382,3357610,3192839,2883274,2962870,2949817,2901435,2968557,3042091,3204168,3349876,3481346
US,MMTCB,Motor Gas excl Ethanol,7630802,7751568,8050790,8309962,8464411,8805625,9218658,9506785,10114000,10595275,11090916,11531738,12259336,12797127,12534588,12797511,13415290,13760444,14210988,13487461,12647895,12630560,12537986,12696942,12867019,13097625,13486741,13815858,14105067,14050036,13871812,13780951,13972523,14141364,14359802,14680047,14967231,15126904,15559439,15888680,15990592,16201234,16618766,16715286,17022752,17022388,17058027,16859024,15999412,15801249,15570293,15110405,15021605,15240281,15361358,15788432,16050927,16002227
US,NNTCB,Natural Gas,12385366,12926392,13730841,14419107,15297642,15779457,17005781,17964988,19204569,20657964,21692710,22365248,22682497,22595346,21729561,19977076,20381227,19972477,20067662,20687615,20226934,19749623,18367053,17212020,18389567,17713531,16603236,17646792,18460278,19607316,19627801,20033047,20723809,21255357,21757307,22720621,23151345,23372324,22911552,22925260,23815293,22747645,23513541,22822564,22927283,22567132,22225318,23670821,23836273,23421003,24568039,24953771,26075691,26788768,27376838,28179686,28392790,28042043
US,NUETB,Nuclear Electric Power,6026,19678,26394,38147,39819,43164,64158,88456,141534,153722,239347,412939,583752,910177,1272083,1899798,2111121,2701762,3024126,2775827,2739169,3007589,3131148,3202549,3552531,4075563,4380109,4753933,5586968,5602161,6104350,6422132,6479206,6410499,6693877,7075436,7086674,6596992,7067809,7610256,7862349,8028853,8145429,7959622,8222774,8160810,8214626,8458589,8426491,8355220,8434433,8268698,8061822,8244433,8337559,8336886,8426753,8418968
US,P1TCB,Other Petroleum,3129471,3204314,3298708,3497534,3672894,3784081,3944823,3919077,4154630,4248913,4311869,4321896,4562544,4830798,4619110,4332237,4699547,5155896,5464015,5646393,5304096,4288756,3857739,4195855,4266615,4164025,4372408,4590909,4888397,4796699,4999132,4651464,5031334,4920222,5106526,4976158,5279544,5552398,5611351,5701366,5352186,5533979,5531513,5714795,6135898,6062485,6126746,5815221,5165391,4618088,4712648,4610774,4392562,4454535,4315174,4381315,4432824,4450985
US,RETCB,Other Renewables,2928205,2952227,3117444,3096431,3225249,3395816,3432463,3690213,3772655,4094893,4070021,4262212,4382009,4410938,4741851,4687119,4727151,4208966,5005439,5122854,5424534,5417152,5980929,6495612,6438347,6084017,6111140,5624499,5456754,6234663,6041894,6067787,5820551,6079367,5987153,6559368,7012393,7011640,6491325,6514712,6104270,5163005,5724010,5942415,6071253,6220264,6603135,6477116,7134762,7566331,8233069,9088867,8730106,9235679,9529123,9493950,10065407,10895475
